,x_cord,y_cord,Condition
184,"636,636,634,634,634,636,637,637,635,614,596,579,562,547,534,522,511,501,484,472,460,447,434,422,412,402,394,391,390,389,388,387,386,386,385,384,384,384,384,384","582,580,566,554,542,530,520,508,497,478,465,452,439,430,420,412,404,397,382,374,369,363,357,351,344,338,331,328,327,326,325,322,320,318,315,312,308,306,304,303",1
185,,,
186,,,
187,,,
188,"634,634,634,634,634,634,634,635,638,642,656,671,686,700,718,733,749,766,785,802,834,857,882,902,916,919,920,918,915,914,911,908,908,907","573,570,569,565,562,558,551,542,529,515,490,473,454,436,420,406,394,380,368,360,344,336,329,324,320,318,318,316,312,310,308,305,304,303",2
189,,,
190,,,
191,,,
192,"640,638,636,634,630,626,623,618,614,611,608,605,601,594,570,553,536,519,506,493,480,470,459,451,444,441,438,434,430,425,421,418,416,413,410,407,404,402,398,396,394,391,390,389,388,386,385,385","570,566,564,558,551,544,539,528,517,509,499,491,480,466,439,422,405,388,376,364,352,341,327,316,306,304,300,298,295,292,290,288,287,286,286,285,284,284,284,284,284,286,286,288,289,290,291,292",2
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
